흡연구역명,흡연구역범위상세,시도명,소재지도로명주소,관리기관명,위도,경도,데이터기준일자
세종시청,세종시청,세종특별자치시,세종특별자치시 한누리대로 2130,세종시청,36.480098,127.289035,2019-12-10
세종시청 조치원 청사,세종시청 조치원 청사,세종특별자치시,세종특별자치시 조치원읍 군청로 93,세종시청,36.592923,127.292253,2019-12-10
조치원읍사무소,조치원읍사무소,세종특별자치시,세종특별자치시 조치원읍 새내16길 17,조치원읍사무소,36.604296,127.298521,2019-12-10
연기면사무소,연기면사무소,세종특별자치시,세종특별자치시 연기면 한별리 149-1,연기면사무소,36.541983,127.274339,2019-12-10
연동면사무소,연동면사무소,세종특별자치시,세종특별자치시 연동면 내판리 9,연동면사무소,36.559264,127.326714,2019-12-10
부강면사무소,부강면사무소,세종특별자치시,세종특별자치시 부강면 부강5길 38,부강면사무소,36.529656,127.370886,2019-12-10
금남면사무소,금남면사무소,세종특별자치시,세종특별자치시 금남면 용포로 57,금남면사무소,36.463843,127.280359,2019-12-10
장군면사무소,장군면사무소,세종특별자치시,세종특별자치시 장군면 장척로 400-1,장군면사무소,36.496614,127.205608,2019-12-10
연서면사무소,연서면사무소,세종특별자치시,세종특별자치시 연서면 대첩로 238,연서면사무소,36.592507,127.271511,2019-12-10
전의면사무소,전의면사무소,세종특별자치시,세종특별자치시 전의면 운주산로 1270,전의면사무소,36.592507,127.195769,2019-12-10
전동면사무소,전동면사무소,세종특별자치시,세종특별자치시 전동면 운주산로 386,전동면사무소,36.656326,127.264213,2019-12-10
소정면사무소,소정면사무소,세종특별자치시,세종특별자치시 소정면 소정구길 204,소정면사무소,36.722313,127.158265,2019-12-10
한솔동 주민센터,한솔동 주민센터,세종특별자치시,세종특별자치시 노을3로 85,한솔동 주민센터,36.479212,127.254573,2019-12-10
도담동 주민센터,도담동 주민센터,세종특별자치시,세종특별자치시 보람로 77,도담동 주민센터,36.515701,127.262152,2019-12-10
아름동 주민센터,아름동 주민센터,세종특별자치시,세종특별자치시 보듬3로 114,아름동 주민센터,36.512015,127.247161,2019-12-10
종촌동 주민센터,종촌동 주민센터,세종특별자치시,세종특별자치시 도움3로 125,종촌동 주민센터,36.504396,127.247082,2019-12-10
고운동 주민센터,고운동 주민센터,세종특별자치시,세종특별자치시 마음로 284,고운동 주민센터,36.519952,127.236705,2019-12-10
보람동 주민센터,보람동 주민센터,세종특별자치시,세종특별자치시 호려울로 42,보람동 주민센터,36.478796,127.290183,2019-12-10
새롬동 주민센터,새롬동 주민센터,세종특별자치시,세종특별자치시 새롬로 14,새롬동 주민센터,36.485846,127.250834,2019-12-10
세종시 농업기술센터,세종시 농업기술센터,세종특별자치시,세종특별자치시 연서면 월하천로 289,세종시 농업기술센터,36.572262,127.283121,2019-12-10
어진동복합커뮤니티센터,어진동복합커뮤니티센터,세종특별자치시,세종특별자치시 다솜1로 31,도담동 주민센터,36.502207,127.256792,2019-12-10
세종문화예술회관,세종문화예술회관,세종특별자치시,세종특별자치시 조치원읍 문예회관길 22,시설관리사업소,36.599794,127.28718,2019-12-10
세종시 시민체육관,시민체육관,세종특별자치시,세종특별자치시 조치원읍 대첩로 116,시설관리사업소,36.59521,127.284356,2019-12-10
